ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco,Status_Anterior,Carregou,Descarregou
e876c21a,10,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1,,False,False
4972ccd1,10,Descarregado,2025-06-27,UPC-Mata Verde,Descarregado,0,,True,2,Resfriando,False,True
898e6bc9,10,Descarregado,2025-06-28,UPC-Mata Verde,Vazio,1,,True,3,Descarregado,False,False
b4ffefe1,10,Descarregado,2025-06-29,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,3,Vazio,False,False
72b1b184,10,Descarregado,2025-06-30,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,3,Vazio,False,False
d1504412,10,Carregado,2025-07-01,UPC-Mata Verde,Carregado,0,,True,4,Vazio,True,False
c7b7c7a1,10,Carregado,2025-07-02,UPC-Mata Verde,Carregado,0,,False,4,Carregado,False,False
10028816,10,Carregado,2025-07-03,UPC-Mata Verde,Carregado,0,,False,4,Carregado,False,False
19d466c7,10,Carbonizando,2025-07-04,UPC-Mata Verde,Carbonizando,0,,True,5,Carregado,False,False
f5dfdf63,10,Carbonizando,2025-07-05,UPC-Mata Verde,Carbonizando,0,,False,5,Carbonizando,False,False
496d261d,10,Carbonizando,2025-07-06,UPC-Mata Verde,Carbonizando,0,,False,5,Carbonizando,False,False
49deb4f6,10,Resfriando,2025-07-07,UPC-Mata Verde,Resfriando,0,,True,6,Carbonizando,False,False
4facd70b,10,Resfriando,2025-07-08,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
1f3876bc,10,Resfriando,2025-07-09,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
a667de14,10,Resfriando,2025-07-10,UPC-Mata Verde,Resfriando,0,,False,6,Resfriando,False,False
9140ecb7,10,Descarregado,2025-07-11,UPC-Mata Verde,Descarregado,0,,True,7,Resfriando,False,True
836f3310,10,Vazio,2025-07-12,UPC-Mata Verde,Vazio,1,,True,8,Descarregado,False,False
6f32cffb,10,Carbonizando,2025-07-13,UPC-Mata Verde,Carbonizando,0,,True,9,Vazio,True,False
ca705202,10,Carbonizando,2025-07-14,UPC-Mata Verde,Carbonizando,0,,False,9,Carbonizando,False,False
e2d0c89d,10,Resfriando,2025-07-15,UPC-Mata Verde,Resfriando,0,,True,10,Carbonizando,False,False
1ed85af1,10,Resfriando,2025-07-16,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
4f0c3deb,10,Resfriando,2025-07-17,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
fc2482a1,10,Resfriando,2025-07-18,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
b06275b4,10,Resfriando,2025-07-19,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
aa02211a,10,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
a0530255,10,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
31e3dec8,10,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
63cce7ca,10,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
9a238d8a,10,Resfriando,2025-07-24,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
72ddcec5,10,Resfriando,2025-07-25,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
3a1af6c3,10,Resfriando,2025-07-26,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
c5982aac,10,Resfriando,2025-07-27,UPC-Mata Verde,Resfriando,0,,False,10,Resfriando,False,False
9d4f136d,10,Descarregado,2025-07-28,UPC-Mata Verde,Descarregado,0,,True,11,Resfriando,False,True
ca91db1e,10,Vazio,2025-07-29,UPC-Mata Verde,Vazio,1,,True,12,Descarregado,False,False
