Data,Quantidade,Estimativa_m3
2025-06-26,34,386.24
2025-06-27,28,318.08
2025-06-28,35,397.59999999999997
2025-06-29,35,397.59999999999997
2025-06-30,30,340.79999999999995
2025-07-01,34,386.24
2025-07-02,30,340.79999999999995
2025-07-03,25,284.0
2025-07-04,26,295.36
2025-07-05,30,340.79999999999995
2025-07-06,30,340.79999999999995
2025-07-07,31,352.15999999999997
2025-07-08,34,386.24
2025-07-09,38,431.67999999999995
2025-07-10,38,431.67999999999995
2025-07-11,38,431.67999999999995
2025-07-12,39,443.03999999999996
2025-07-13,43,488.47999999999996
2025-07-14,37,420.32
2025-07-15,26,295.36
2025-07-16,27,306.71999999999997
2025-07-17,33,374.88
2025-07-18,42,477.12
2025-07-19,50,568.0
2025-07-20,50,568.0
2025-07-21,53,602.0799999999999
2025-07-22,53,602.0799999999999
2025-07-23,53,602.0799999999999
2025-07-24,53,602.0799999999999
2025-07-25,45,511.2
2025-07-26,37,420.32
2025-07-27,37,420.32
2025-07-28,31,352.15999999999997
2025-07-29,31,352.15999999999997
2025-07-30,29,329.44
2025-07-31,33,374.88
2025-08-01,28,318.08
2025-08-02,30,340.79999999999995
2025-08-03,30,340.79999999999995
2025-08-04,26,295.36
2025-08-05,26,295.36
2025-08-06,33,374.88
2025-08-07,30,340.79999999999995
2025-08-08,28,318.08
2025-08-09,31,352.15999999999997
2025-08-10,33,374.88
2025-08-11,33,374.88
2025-08-12,30,340.79999999999995
2025-08-13,39,443.03999999999996
2025-08-14,39,443.03999999999996
2025-08-15,39,443.03999999999996
2025-08-16,39,443.03999999999996
2025-08-17,39,443.03999999999996
2025-08-18,38,431.67999999999995
2025-08-19,38,431.67999999999995
2025-08-20,33,374.88
2025-08-21,33,374.88
2025-08-22,36,408.96
2025-08-23,34,386.24
2025-08-24,34,386.24
2025-08-25,31,352.15999999999997
2025-08-26,30,340.79999999999995
2025-08-27,27,306.71999999999997
2025-08-28,31,352.15999999999997
