Forno,Status_Ajustado,Media_dias
01,Carbonizando,4.0
01,Descarregado,1.0
01,Resfriando,5.666666666666667
01,Vazio,1.0
02,Caído,34.0
03,Carbonizando,5.5
03,Descarregado,1.0
03,Resfriando,4.333333333333333
03,Vazio,3.5
04,Carbonizando,4.5
04,Descarregado,1.0
04,Resfriando,5.0
04,Vazio,2.3333333333333335
05,Carbonizando,4.5
05,Descarregado,1.0
05,Resfriando,5.0
05,Vazio,2.3333333333333335
06,Carbonizando,4.0
06,Descarregado,1.0
06,Resfriando,5.333333333333333
06,Vazio,2.3333333333333335
07,Carbonizando,4.5
07,Carregado,1.0
07,Descarregado,1.0
07,Resfriando,5.0
07,Vazio,2.0
08,Carbonizando,4.5
08,Carregado,2.0
08,Descarregado,1.0
08,Resfriando,4.666666666666667
08,Vazio,2.0
09,Carbonizando,3.3333333333333335
09,Carregado,2.0
09,Descarregado,1.0
09,Resfriando,3.0
09,Vazio,2.3333333333333335
10,Carbonizando,2.5
10,Carregado,3.0
10,Descarregado,1.0
10,Resfriando,6.0
10,Vazio,1.6666666666666667
11,Carbonizando,4.0
11,Descarregado,1.0
11,Resfriando,6.0
11,Vazio,1.6666666666666667
12,Carbonizando,4.0
12,Descarregado,1.0
12,Resfriando,5.666666666666667
12,Vazio,2.0
13,Carbonizando,4.0
13,Carregado,1.0
13,Descarregado,1.0
13,Em manutenção,1.0
13,Resfriando,7.0
13,Vazio,2.6666666666666665
14,Em manutenção,34.0
15,Caído,31.0
15,Descarregado,1.0
15,Resfriando,1.0
15,Vazio,1.0
16,Carbonizando,5.0
16,Carregado,1.0
16,Descarregado,1.0
16,Resfriando,4.333333333333333
16,Vazio,2.3333333333333335
17,Carbonizando,4.0
17,Carregado,2.0
17,Descarregado,1.0
17,Resfriando,5.0
17,Vazio,2.0
18,Carbonizando,3.6666666666666665
18,Carregado,1.0
18,Descarregado,1.0
18,Resfriando,2.6666666666666665
18,Vazio,2.75
19,Carbonizando,5.5
19,Carregado,3.0
19,Descarregado,1.0
19,Resfriando,4.333333333333333
19,Vazio,2.0
20,Carbonizando,3.0
20,Carregado,3.0
20,Descarregado,1.0
20,Resfriando,5.333333333333333
20,Vazio,3.0
21,Carbonizando,3.0
21,Carregado,3.0
21,Descarregado,1.0
21,Resfriando,5.333333333333333
21,Vazio,3.0
22,Carbonizando,3.5
22,Carregado,1.0
22,Descarregado,1.0
22,Resfriando,8.0
22,Vazio,2.3333333333333335
23,Carbonizando,3.0
23,Descarregado,1.0
23,Resfriando,7.0
23,Vazio,2.6666666666666665
24,Carbonizando,2.0
24,Descarregado,1.0
24,Resfriando,6.666666666666667
24,Vazio,1.6666666666666667
25,Carbonizando,1.3333333333333333
25,Carregado,1.0
25,Descarregado,1.0
25,Resfriando,7.333333333333333
25,Vazio,1.3333333333333333
26,Carbonizando,1.6666666666666667
26,Carregado,1.0
26,Descarregado,1.0
26,Resfriando,7.0
26,Vazio,1.3333333333333333
27,Carbonizando,1.6
27,Carregado,1.0
27,Descarregado,1.0
27,Resfriando,6.0
27,Vazio,2.2
28,Carbonizando,2.3333333333333335
28,Descarregado,1.0
28,Resfriando,6.0
28,Vazio,1.6666666666666667
29,Carbonizando,1.75
29,Carregado,1.5
29,Descarregado,1.0
29,Resfriando,5.333333333333333
29,Vazio,1.3333333333333333
30,Carbonizando,3.5
30,Carregado,1.5
30,Descarregado,1.0
30,Resfriando,3.6666666666666665
30,Vazio,1.0
31,Caído,34.0
32,Carbonizando,2.0
32,Descarregado,1.0
32,Resfriando,4.25
32,Vazio,3.0
33,Carbonizando,2.0
33,Descarregado,1.0
33,Resfriando,4.25
33,Vazio,3.0
34,Carbonizando,3.0
34,Carregado,1.0
34,Descarregado,1.0
34,Resfriando,4.666666666666667
34,Vazio,3.5
35,Carbonizando,3.6666666666666665
35,Descarregado,1.0
35,Resfriando,4.333333333333333
35,Vazio,4.0
36,Carbonizando,3.6666666666666665
36,Descarregado,1.0
36,Resfriando,4.333333333333333
36,Vazio,4.0
37,Carbonizando,4.0
37,Descarregado,1.0
37,Resfriando,5.666666666666667
37,Vazio,2.0
38,Em manutenção,34.0
39,Carbonizando,3.0
39,Descarregado,1.0
39,Resfriando,5.0
39,Vazio,4.0
40,Carbonizando,4.0
40,Descarregado,1.0
40,Resfriando,4.0
40,Vazio,4.0
41,Carbonizando,2.3333333333333335
41,Carregado,1.0
41,Resfriando,6.666666666666667
41,Vazio,3.0
42,Carbonizando,2.5
42,Descarregado,1.0
42,Resfriando,6.666666666666667
42,Vazio,2.0
43,Carbonizando,3.6666666666666665
43,Descarregado,1.0
43,Resfriando,4.666666666666667
43,Vazio,3.5
44,Carbonizando,3.6666666666666665
44,Carregado,1.0
44,Descarregado,1.0
44,Resfriando,4.333333333333333
44,Vazio,3.5
45,Carbonizando,5.0
45,Carregado,1.0
45,Descarregado,1.0
45,Resfriando,4.0
45,Vazio,2.0
46,Caído,34.0
47,Carbonizando,4.333333333333333
47,Carregado,1.0
47,Descarregado,1.0
47,Resfriando,3.6666666666666665
47,Vazio,3.5
48,Caído,34.0
49,Carbonizando,4.333333333333333
49,Carregado,1.0
49,Descarregado,1.0
49,Resfriando,3.6666666666666665
49,Vazio,3.5
50,Carbonizando,4.0
50,Caído,6.0
50,Descarregado,1.0
50,Resfriando,4.5
50,Vazio,5.0
51,Carbonizando,3.3333333333333335
51,Descarregado,1.0
51,Resfriando,4.333333333333333
51,Vazio,4.5
52,Carbonizando,3.3333333333333335
52,Descarregado,1.0
52,Resfriando,4.333333333333333
52,Vazio,4.5
53,Carbonizando,3.0
53,Carregado,1.0
53,Descarregado,1.0
53,Resfriando,4.333333333333333
53,Vazio,4.5
54,Carbonizando,3.0
54,Carregado,1.0
54,Descarregado,1.0
54,Resfriando,5.666666666666667
54,Vazio,3.0
55,Carbonizando,3.3333333333333335
55,Descarregado,1.0
55,Resfriando,4.333333333333333
55,Vazio,3.0
56,Carbonizando,3.3333333333333335
56,Descarregado,1.0
