ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco
e876c21a,40,Carbonizando,2025-06-26,UPC-Mata Verde,Carbonizando,0,,True,1
4972ccd1,40,Carbonizando,2025-06-27,UPC-Mata Verde,Carbonizando,0,,False,1
898e6bc9,40,Carbonizando,2025-06-28,UPC-Mata Verde,Carbonizando,0,,False,1
b4ffefe1,40,Resfriando,2025-06-29,UPC-Mata Verde,Resfriando,0,,True,2
72b1b184,40,Resfriando,2025-06-30,UPC-Mata Verde,Resfriando,0,,False,2
d1504412,40,Descarregado,2025-07-01,UPC-Mata Verde,Descarregado,0,,True,3
c7b7c7a1,40,Descarregado,2025-07-02,UPC-Mata Verde,Vazio,1,,True,4
10028816,40,Descarregado,2025-07-03,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,4
19d466c7,40,Vazio,2025-07-04,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,4
f5dfdf63,40,Vazio,2025-07-05,UPC-Mata Verde,Vazio,4,Forno vazio há 4 dias consecutivos!,False,4
496d261d,40,Vazio,2025-07-06,UPC-Mata Verde,Vazio,5,Forno vazio há 5 dias consecutivos!,False,4
49deb4f6,40,Carbonizando,2025-07-07,UPC-Mata Verde,Carbonizando,0,,True,5
