ID,Forno,Status,Data,Unidade,Status_Ajustado,Dias_Vazio_Consecutivos,Alerta,Mudou,Bloco
e876c21a,10,Resfriando,2025-06-26,UPC-Mata Verde,Resfriando,0,,True,1
4972ccd1,10,Descarregado,2025-06-27,UPC-Mata Verde,Descarregado,0,,True,2
898e6bc9,10,Descarregado,2025-06-28,UPC-Mata Verde,Vazio,1,,True,3
b4ffefe1,10,Descarregado,2025-06-29,UPC-Mata Verde,Vazio,2,Forno vazio há 2 dias consecutivos!,False,3
72b1b184,10,Descarregado,2025-06-30,UPC-Mata Verde,Vazio,3,Forno vazio há 3 dias consecutivos!,False,3
d1504412,10,Carregado,2025-07-01,UPC-Mata Verde,Carregado,0,,True,4
c7b7c7a1,10,Carregado,2025-07-02,UPC-Mata Verde,Carregado,0,,False,4
10028816,10,Carregado,2025-07-03,UPC-Mata Verde,Carregado,0,,False,4
19d466c7,10,Carbonizando,2025-07-04,UPC-Mata Verde,Carbonizando,0,,True,5
f5dfdf63,10,Carbonizando,2025-07-05,UPC-Mata Verde,Carbonizando,0,,False,5
496d261d,10,Carbonizando,2025-07-06,UPC-Mata Verde,Carbonizando,0,,False,5
49deb4f6,10,Resfriando,2025-07-07,UPC-Mata Verde,Resfriando,0,,True,6
4facd70b,10,Resfriando,2025-07-08,UPC-Mata Verde,Resfriando,0,,False,6
1f3876bc,10,Resfriando,2025-07-09,UPC-Mata Verde,Resfriando,0,,False,6
a667de14,10,Resfriando,2025-07-10,UPC-Mata Verde,Resfriando,0,,False,6
9140ecb7,10,Descarregado,2025-07-11,UPC-Mata Verde,Descarregado,0,,True,7
836f3310,10,Vazio,2025-07-12,UPC-Mata Verde,Vazio,1,,True,8
6f32cffb,10,Carbonizando,2025-07-13,UPC-Mata Verde,Carbonizando,0,,True,9
ca705202,10,Carbonizando,2025-07-14,UPC-Mata Verde,Carbonizando,0,,False,9
e2d0c89d,10,Resfriando,2025-07-15,UPC-Mata Verde,Resfriando,0,,True,10
1ed85af1,10,Resfriando,2025-07-16,UPC-Mata Verde,Resfriando,0,,False,10
4f0c3deb,10,Resfriando,2025-07-17,UPC-Mata Verde,Resfriando,0,,False,10
fc2482a1,10,Resfriando,2025-07-18,UPC-Mata Verde,Resfriando,0,,False,10
b06275b4,10,Resfriando,2025-07-19,UPC-Mata Verde,Resfriando,0,,False,10
aa02211a,10,Resfriando,2025-07-20,UPC-Mata Verde,Resfriando,0,,False,10
a0530255,10,Resfriando,2025-07-21,UPC-Mata Verde,Resfriando,0,,False,10
31e3dec8,10,Resfriando,2025-07-22,UPC-Mata Verde,Resfriando,0,,False,10
63cce7ca,10,Resfriando,2025-07-23,UPC-Mata Verde,Resfriando,0,,False,10
9a238d8a,10,Resfriando,2025-07-24,UPC-Mata Verde,Resfriando,0,,False,10
72ddcec5,10,Resfriando,2025-07-25,UPC-Mata Verde,Resfriando,0,,False,10
